Model,Task,Accuracy,Macro_F1,Weighted_F1
BERT-BASE-UNCASED,MR,0.673,0.642,0.657
SBERT,MR,0.727,0.705,0.716
BERT-BASE-UNCASED,CR,0.863,0.852,0.863
SBERT,CR,0.875,0.864,0.875
BERT-BASE-UNCASED,SUBJ,0.996,0.524,0.994
SBERT,SUBJ,0.996,0.566,0.995
BERT-BASE-UNCASED,MPQA,0.874,0.852,0.873
SBERT,MPQA,0.9,0.882,0.899
BERT-BASE-UNCASED,SST,0.871,0.87,0.871
SBERT,SST,0.903,0.902,0.903
BERT-BASE-UNCASED,TREC,0.86,0.858,0.856
SBERT,TREC,0.901,0.862,0.895
BERT-BASE-UNCASED,MRPC,0.723,0.671,0.716
SBERT,MRPC,0.725,0.664,0.713
